"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes"
"F3",115.71811576496,-0.476416468742259,0.131381568562996,-3.62620475575936,0.00028761732411062,0.00882102295610323,"F3"
"Gmds",25.121666078632,0.523808354378067,0.144626489415608,3.62180093352621,0.000292559216215853,0.00891361870051203,"Gmds"
"Traf1",105.345894311272,-0.462669864204889,0.12779516368628,-3.62040198438715,0.000294145665502238,0.00891402933904377,"Traf1"
"Tmem106b",62.8658003730822,0.364494376403657,0.100718574540093,3.61893898983412,0.000295813361758619,0.00891688468662817,"Tmem106b"
"Nlrp3",168.728191379117,-0.430309190662345,0.119000078072846,-3.61604124661943,0.000299142731467383,0.00896953364669662,"Nlrp3"
"Spryd7",80.6149639013235,-0.403049585911677,0.111569827013513,-3.61253213974116,0.00030322150981843,0.00904398050600549,"Spryd7"
"Srp9",154.828007172542,0.351567514722269,0.0976813044770005,3.59912796624299,0.000319286055351145,0.00947326741191067,"Srp9"
"Egr1",23.0698542947217,-0.564848486245359,0.157548519374332,-3.58523512939714,0.000336774649251681,0.00994011425681915,"Egr1"
"Cd207",55.3488041927947,-0.661751497380201,0.18500234735194,-3.57698973473735,0.00034757381750522,0.0102057037502699,"Cd207"
"Tbc1d13",85.7484141482486,0.344990580706887,0.0965992187975353,3.57135994474201,0.000355132438186428,0.0103738944701159,"Tbc1d13"
"Tnfsf15",611.291493212489,-0.534275413638052,0.149917627599041,-3.56379314557316,0.000365534050753511,0.0106229818749751,"Tnfsf15"
"Man2b2",186.460399641062,0.432363257949716,0.121740764291423,3.55150766849735,0.000383030830739325,0.0110746720295906,"Man2b2"
"Dusp16",54.7882567759256,-0.443983031359656,0.125071455813713,-3.54983500008941,0.000385472671140251,0.011088698615999,"Dusp16"
"C5ar1",116.019871588208,-0.458215615260584,0.129563347665329,-3.53661450956167,0.000405290761540305,0.0115999128568127,"C5ar1"
"Phlda1",26.2513457490537,-0.562702942233002,0.159385108149744,-3.53046121287778,0.00041483583470813,0.0117681918033277,"Phlda1"
"Amica1",37.867233334513,-0.521623065694292,0.1477622787121,-3.53015038913026,0.00041532351520479,0.0117681918033277,"Amica1"
"Marcks",109.902313664336,-0.378309631401878,0.107980002403341,-3.50351567866027,0.000459159624611218,0.0129455601625461,"Marcks"
"Il4i1",160.917852007248,-0.474410248477227,0.13559380369247,-3.49876053004015,0.000467426184693199,0.0131133870725562,"Il4i1"
"Tmed2",535.463011753102,0.303684885817113,0.0871969791410321,3.48274548967957,0.000496299951850279,0.0138548365868746,"Tmed2"
